2019-08-05 11:51:59.863 [main] [AbstractTestContextBootstrapper.java:308] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.liume.xiukid520.Xiukid520ApplicationTests], using SpringBootContextLoader 
2019-08-05 11:51:59.887 [main] [AbstractContextLoader.java:264] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.liume.xiukid520.Xiukid520ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2019-08-05 11:51:59.889 [main] [AnnotationConfigContextLoaderUtils.java:83] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.liume.xiukid520.Xiukid520ApplicationTests]: Xiukid520ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2019-08-05 11:52:00.022 [main] [SpringBootTestContextBootstrapper.java:235] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.liume.xiukid520.Xiukid520Application for test class com.liume.xiukid520.Xiukid520ApplicationTests 
2019-08-05 11:52:00.134 [main] [AbstractTestContextBootstrapper.java:248] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2019-08-05 11:52:00.155 [main] [AbstractTestContextBootstrapper.java:177] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@34abdee4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@71a9b4c7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4628b1d3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@77cf3f8b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1df98368, org.springframework.test.context.transaction.TransactionalTestExecutionListener@21ca139c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@226f885f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2cd2c8fe, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7d61eccf, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@cc6460c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@52350abb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@681aad3b] 
2019-08-05 11:52:00.511 [main] [StartupInfoLogger.java:50] INFO  com.liume.xiukid520.Xiukid520ApplicationTests - Starting Xiukid520ApplicationTests on liumepc with PID 7528 (started by liumengbo in D:\react\xiukid520) 
2019-08-05 11:52:00.512 [main] [SpringApplication.java:646] INFO  com.liume.xiukid520.Xiukid520ApplicationTests - No active profile set, falling back to default profiles: default 
2019-08-05 11:52:01.982 [main] [RepositoryConfigurationDelegate.java:126] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode. 
2019-08-05 11:52:02.179 [main] [RepositoryConfigurationDelegate.java:182] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 174ms. Found 3 repository interfaces. 
2019-08-05 11:52:03.470 [main] [PostProcessorRegistrationDelegate.java:330] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$aa09dac7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-08-05 11:52:03.898 [main] [HikariDataSource.java:110] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
2019-08-05 11:52:13.105 [main] [HikariDataSource.java:123] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
2019-08-05 11:52:13.172 [main] [LogHelper.java:31] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] 
2019-08-05 11:52:13.250 [main] [Version.java:46] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final} 
2019-08-05 11:52:13.252 [main] [Environment.java:213] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found 
2019-08-05 11:52:13.451 [main] [JavaReflectionManager.java:49] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final} 
2019-08-05 11:52:14.399 [main] [Dialect.java:157] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
2019-08-05 11:52:15.317 [main] [AbstractEntityManagerFactoryBean.java:415] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2019-08-05 11:52:16.606 [main] [ExecutorConfigurationSupport.java:171] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2019-08-05 11:52:16.685 [main] [JpaBaseConfiguration.java:225] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2019-08-05 11:52:17.143 [main] [StartupInfoLogger.java:59] INFO  com.liume.xiukid520.Xiukid520ApplicationTests - Started Xiukid520ApplicationTests in 16.944 seconds (JVM running for 18.493) 
2019-08-05 11:52:17.379 [Thread-1] [ExecutorConfigurationSupport.java:208] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2019-08-05 11:52:17.382 [Thread-1] [AbstractEntityManagerFactoryBean.java:597] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
2019-08-05 11:52:17.389 [Thread-1] [HikariDataSource.java:350] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated... 
2019-08-05 11:52:17.418 [Thread-1] [HikariDataSource.java:352] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed. 
